"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1221","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
"1222","1800 BRUCE PLACE SE WASHINGTON, DC 20020 UNITED STATES",38.850603,-76.979684,38.850553,38.850653,-76.979734,-76.979634
"1223","2200 25TH PLACE NE WASHINGTON, DC 20018 UNITED STATES",38.920169,-76.970452,38.920119,38.920219,-76.970502,-76.970402
"1224","2200 25TH PLACE NE WASHINGTON, DC 20018 UNITED STATES",38.920169,-76.970452,38.920119,38.920219,-76.970502,-76.970402
"1225","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
"1226","2300 GOOD HOPE ROAD SE WASHINGTON, DC 20020 UNITED STATES",38.8645478,-76.9741515,38.8644978,38.8645978,-76.9742015,-76.9741015
"1227","300 DELAFIELD PLACE NW WASHINGTON, DC 20011 UNITED STATES",38.949237,-77.015902,38.949187,38.949287,-77.015952,-77.015852
"1228","900 RHODE ISLAND AVENUE NE WASHINGTON, DC 20018 UNITED STATES",38.92244985,-76.9936711184961,38.9222684,38.9226741,-76.9938215,-76.9932422
"1229","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
"1230","1800 BRUCE PLACE SE WASHINGTON, DC 20020 UNITED STATES",38.850603,-76.979684,38.850553,38.850653,-76.979734,-76.979634
"1231","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
"1232","3900 KANSAS AVENUE NW WASHINGTON, DC 20011 UNITED STATES",38.9389596,-77.0285396378523,38.9388765,38.9389948,-77.0286234,-77.0283915
"1233","700 COLUMBIA ROAD NW WASHINGTON, DC 20001 UNITED STATES",38.928747,-77.01841,38.92865,38.929148,-77.0193893,-77.0179452
"1234","3200 GRACE STREET NW WASHINGTON, DC 20007 UNITED STATES",38.903896,-77.062938,38.903846,38.903946,-77.062988,-77.062888
"1235","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
"1236","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
"1237","3200 GRACE STREET NW WASHINGTON, DC 20007 UNITED STATES",38.903896,-77.062938,38.903846,38.903946,-77.062988,-77.062888
"1238","3200 GRACE STREET NW WASHINGTON, DC 20007 UNITED STATES",38.903896,-77.062938,38.903846,38.903946,-77.062988,-77.062888
"1239","4600 6TH STREET SE WASHINGTON, DC 20032 UNITED STATES",38.823797,-76.999586,38.823747,38.823847,-76.999636,-76.999536
"1240","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
